i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.42034483041848797;5.559342374901182;2.7663827805592494;0.5216581595772197;0.6967514871639293;-0.1592472642660141;0.2363569587469101;0.13325567543506622;0.6312288105102081;-1.2040314849847524;0.5216581595772197;0.7236835799646875;0.3606248702944564;0.6274293799589024;-0.12318477723656845;0.29909989674280035;0.19122636318206787;0.4684302508831024;0.11464492231607437;0.516886007320769;-0.4801885527063482;0.6967514871639293;0.10944198823206885;0.07023217348604995;0.08393444224877937;0.19824958053067288;0.47682369510798034;0.9683405160903931;-0.45779547095298767;0.1673051118850708;0.7131921998371816;2.286194227852901;4.372005253473639;0.8489032958837879;-0.8001988514253389;-0.2834053703441879;0.8883206309478592;-0.48613600798740647;
1;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.4136894093460757;5.5684264296976185;2.777562324474025;0.499517552844173;0.7084721540155318;-0.15526458621025085;0.23444190621376038;0.14874495565891266;0.626824381415339;-1.2046050255882685;0.499517552844173;0.725359798971429;0.34744886378235895;0.6367308104844775;-0.12051969983201496;0.29811498726220814;0.18447159230709076;0.4704890549182892;0.13100630044937134;0.5218566553027322;-0.4898461481063009;0.7084721540155318;0.10951783044722913;0.07126044319806912;0.0831631193563757;0.19159763662689766;0.4788053668539268;0.9697845578193665;-0.4604940414428711;0.18633215129375458;0.7160530789637701;2.287716176367725;4.384294863198984;0.8481565141596502;-0.8029143300360427;-0.2733094420875753;0.8894931248157621;-0.48782498565162863;
2;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.40075113026748604;5.593898371663687;2.797268671002136;0.5045585354999911;0.7110852178770244;-0.15333878993988037;0.23835016787052155;0.16769777238368988;0.6264406939328089;-1.1976790316462385;0.5045585354999911;0.729980440770055;0.35288790000965026;0.6390160983368282;-0.11804999993891535;0.30225177770420436;0.17361882328987122;0.47008317708969116;0.14919652044773102;0.5266952037110404;-0.5083920961303386;0.7110852178770244;0.10930939853780097;0.07134147579147028;0.08281870827651724;0.18075297086901823;0.4783650479173429;0.9708564877510071;-0.4625339210033417;0.20491597056388855;0.7182019540777843;2.2888765748717974;4.393455713090827;0.8468234385821367;-0.8041185021120715;-0.26552470825351143;0.8904446375398;-0.48908639182869285;
3;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.39229805900200065;5.6083344252137195;2.8167548494345898;0.49852458440762626;0.707044718577292;-0.15076357126235962;0.23964211344718933;0.1864030659198761;0.6245172743598864;-1.1942495397768091;0.49852458440762626;0.7325478109590358;0.3502532447394587;0.6433886538402399;-0.11573824678841375;0.30398097883121333;0.1677880734205246;0.4686019718647003;0.16448235511779785;0.5282715807600401;-0.5193986578109429;0.707044718577292;0.10949192401531771;0.07112483210277158;0.08324505800904135;0.17490055663080176;0.4769264776656045;0.9657867550849915;-0.46617579460144043;0.2239696979522705;0.7168059948750554;2.297356191623647;4.396746582877026;0.8454838890268432;-0.8037145815483029;-0.2624611933421621;0.8854152969301612;-0.49242191393565665;
4;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.36716051377461967;5.647133858625225;2.843567575584054;0.47875308091352653;0.6917874664149899;-0.1368049532175064;0.2502211332321167;0.2030048370361328;0.6156086807731206;-1.1699287780668597;0.47875308091352653;0.7392681047354347;0.3405607121508037;0.6561522171100689;-0.10274888200242605;0.31583635494312357;0.1612652987241745;0.46460622549057007;0.17994174361228943;0.5280957866946017;-0.533877329512499;0.6917874664149899;0.10905964194938883;0.06957075324311394;0.08398759310347358;0.1682223740484859;0.4730049848009174;0.9579436779022217;-0.4709901213645935;0.234650120139122;0.7141960682384434;2.3096902460715554;4.399294725231163;0.8436050853428715;-0.8025932942387769;-0.2598336853822106;0.877684348478344;-0.49697348990281454;
5;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.34806889870437724;5.681594578739133;2.8702240690281404;0.4892948315920494;0.7011350471476108;-0.12887638807296753;0.26213133335113525;0.21686150133609772;0.6131174654198879;-1.1469950186792583;0.4892948315920494;0.74502268144058;0.35016332593339017;0.6576050798406124;-0.09386005547962852;0.3278918413351965;0.15361517667770386;0.4654794931411743;0.20341342687606812;0.5327758808683422;-0.5454042902388048;0.7011350471476108;0.10877995268777257;0.0701723597279152;0.08311990156978113;0.16063241265049538;0.4737914832981524;0.9474772810935974;-0.4759836494922638;0.24330876767635345;0.709903404712107;2.324819778789336;4.398088433642575;0.8416952181260047;-0.8004629669211099;-0.2602112195967669;0.8674309844014865;-0.5020047714519404;
6;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.3329484307930414;5.706097301082043;2.904794091638529;0.48308733879805094;0.6700139595727219;-0.12232335656881332;0.26746439933776855;0.2236439436674118;0.6093841211730072;-1.134595206692254;0.48308733879805094;0.7489954914398662;0.3479199584828233;0.663284214109274;-0.087531360720531;0.333792820748696;0.15037736296653748;0.45848527550697327;0.2169986069202423;0.5285147694134131;-0.5575072005947107;0.6700139595727219;0.10914100495336643;0.0677762288812693;0.08554613819959701;0.15715498585466442;0.46703988932693297;0.9327908158302307;-0.4839123487472534;0.24917815625667572;0.7048035277495832;2.3472868910438187;4.400759806165041;0.839153871452534;-0.798736287548386;-0.2572927572381273;0.8529171870753921;-0.5096416244710662;
7;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.31558226748276047;5.738051513457728;2.9378795225342538;0.4981340211758693;0.6345761902656173;-0.11659123003482819;0.2775931656360626;0.23373982310295105;0.6085787336459562;-1.115529696638987;0.4981340211758693;0.7540323602172119;0.36026697573439664;0.6623990537809749;-0.08056453246138852;0.3438330710141601;0.14738938212394714;0.4505278468132019;0.22878682613372803;0.5233866115541744;-0.5703959029171296;0.6345761902656173;0.1091817187380385;0.0647268822198356;0.08792655130671098;0.1538620703459307;0.459320501943873;0.9180529117584229;-0.48919859528541565;0.2556424140930176;0.69813672171775;2.3674836196171243;4.394446703499759;0.8366509678622234;-0.7947186060644597;-0.26154766143048835;0.8385810511519769;-0.5153533614284644;
8;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.3169965096768171;5.732288651204659;2.9525622606725035;0.48947824809270873;0.6598822188655344;-0.1115034744143486;0.2804124355316162;0.2400341033935547;0.6052676251815816;-1.1076501169184791;0.48947824809270873;0.753135827549541;0.3540984567804661;0.664701329654473;-0.07609362873630199;0.3468825684970635;0.15201802551746368;0.4566032588481903;0.23974013328552246;0.5260498540547589;-0.5567534609435523;0.6598822188655344;0.10992263840774652;0.06738519367199108;0.08684596771473298;0.1587565448846628;0.4652878556196636;0.8987512588500977;-0.49744275212287903;0.2632805109024048;0.690815380080375;2.395808799728952;4.3928442288456635;0.835517367422428;-0.7932222464426674;-0.2624647386087372;0.8194290342058309;-0.5236892259837528;
9;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.3136683804935084;5.736201707416953;2.9425090679969657;0.5108974947220429;0.7196701588518077;-0.09830059111118317;0.2988508939743042;0.2500368356704712;0.602109918136365;-1.0704480314125757;0.5108974947220429;0.7537451472473434;0.36855147876387323;0.6574964292677806;-0.061445443234795845;0.3646005369010823;0.16405333578586578;0.4707760810852051;0.2493150234222412;0.5320171285840946;-0.523464431649942;0.7196701588518077;0.10941548087949238;0.07211975458004426;0.08228297792013088;0.1712653112438702;0.47900437887721814;0.8828259110450745;-0.503649115562439;0.2691265940666199;0.6847530355039527;2.419044636347024;4.390665240088495;0.8362950761930168;-0.7933862619905727;-0.26443844983154396;0.8034872848460172;-0.5300929605455934;
