i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.34633446324532263;5.763896089881077;3.266659282289033;0.28377275162400206;0.8647949479596584;-0.17322008311748505;0.29649853706359863;0.11959092319011688;0.6677992815328927;-1.127389924810888;0.28377275162400206;0.7579901153774029;0.21222169097297336;0.7276750434709304;-0.1519979140201877;0.36926604141069164;0.04130542278289795;0.5683925747871399;0.1059732586145401;0.6803570694388302;-0.6081007075123785;0.8647949479596584;0.12124037473236726;0.09225934745637103;0.07866029031327969;0.05053135752853505;0.5762586038184678;0.8035160899162292;-0.7021735906600952;0.15775252878665924;0.8041800125966831;2.658558574776655;4.709582420390014;0.8073816186572189;-0.8073784388760152;-0.002265961976610606;0.7227782460286277;-0.7024001868577563;
1;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.34231691745487197;5.772017780307171;3.3188419724122697;0.2785751388760852;0.8835985051340991;-0.1717555820941925;0.29658523201942444;0.14126929640769958;0.6665139726916066;-1.12632976704248;0.2785751388760852;0.7592128912805267;0.20877291457506256;0.7299438912864266;-0.15087829063668626;0.3695796211480671;0.034364908933639526;0.569889485836029;0.12225484102964401;0.6855679117584342;-0.6151622401700642;0.8835985051340991;0.12320845729903318;0.09524342412439578;0.07816018238891301;0.0438892513460791;0.5777055040749204;0.7744706273078918;-0.725681483745575;0.18207582831382751;0.8123344499674892;2.7036797322422066;4.786236501573112;0.8018723971784575;-0.7996869025851797;0.05916248127358423;0.6945019370493739;-0.7197652356182165;
2;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.3253269763715662;5.799604554758288;3.338457219399175;0.3463719798677559;0.8603501577138235;-0.1743602156639099;0.31321555376052856;0.14042049646377563;0.6761589623155427;-1.1057790231889417;0.3463719798677559;0.7632930394042431;0.25912844198921675;0.7179614993543932;-0.14844737146498824;0.3850117036959679;0.03233734890818596;0.5644400715827942;0.1260714828968048;0.6823044606699444;-0.6221982707676431;0.8603501577138235;0.12284790751746416;0.09312743271437328;0.08011797337332809;0.04165009217962329;0.572451868920127;0.765181839466095;-0.7299398183822632;0.2006089985370636;0.8123163179054399;2.7162589486315314;4.798746797024913;0.7997302334806535;-0.7967500232080603;0.06897714738212934;0.6855068371452889;-0.7230421036440502;
3;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.32113696114925533;5.803968362717437;3.3514949342659555;0.35759799556113075;0.8103821399391012;-0.17816920578479767;0.3123391270637512;0.13955405354499817;0.6791750368046389;-1.10944739241057;0.35759799556113075;0.7639282382051396;0.2673941273866931;0.7156023572951093;-0.15142979304612836;0.38389936279326214;0.032899871468544006;0.5543696880340576;0.1263914853334427;0.6738151596172322;-0.6302304479484204;0.8103821399391012;0.12324032206750207;0.08929385008308781;0.08493989239833472;0.04182925647685279;0.5628636772738911;0.7590224742889404;-0.7261238098144531;0.21653032302856445;0.8063089060421953;2.721264486317535;4.780624438297801;0.7982841256208019;-0.7964264101298669;0.05442902227507991;0.6793798332759537;-0.7206809075869451;
4;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.30235314954323517;5.834239743396307;3.353582278960851;0.41158852504658094;0.7368087678526418;-0.1865544468164444;0.3186304569244385;0.1449335366487503;0.689486870673053;-1.1066904905439843;0.41158852504658094;0.7682594132493652;0.30735423521214345;0.7040993538865217;-0.15581902329523006;0.3890403923130906;0.023840870708227158;0.5357738137245178;0.12340396642684937;0.6643819244271136;-0.6577449267607053;0.7368087678526418;0.12197387218432365;0.0819576426157375;0.09033587500272952;0.03203663496980091;0.5448074012247908;0.7703790068626404;-0.7023424506187439;0.22724829614162445;0.7894869443292365;2.695837352200147;4.687352270881069;0.7980509288600719;-0.797800818071042;-0.01997848191429339;0.6905989250555362;-0.7043402988101732;
5;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2836110094191982;5.86387877552955;3.3944734331687547;0.943481462278076;-0.3769868420450352;-0.18889446556568146;0.32635238766670227;0.16260673105716705;0.6950605676415933;-1.0982628165475867;0.4478413679613865;0.5;0.40480326349361806;0.29348648668195343;-0.14841413921631966;0.35570103633489764;0.01943458802998066;0.5187951326370239;0.12504035234451294;0.6537862376199414;-0.6789562848975503;0.6647567787492249;0.09999999999999998;-0.03681205765984062;0.09297780601223372;0.0157533822639966;0.5280929132382473;0.7508427500724792;-0.6968895792961121;0.2505663335323334;0.7762943691612775;2.715517148271204;4.650745984849548;0.7933873333359133;-0.791880430635437;-0.04887580459190907;0.6716547070089356;-0.701777159755303;
6;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.26236576605171347;5.892205870361205;3.3641865370957658;1.6977357984355597;-0.5571964876849795;-0.17638929188251495;0.3359750807285309;0.18902011215686798;0.6884531404284173;-1.0775484228416135;0.43557762570780734;0.5;0.4959769990855547;-0.06329941846563567;-0.12679159197395948;0.32964513888196734;0.026270847767591476;0.5026023983955383;0.1409725844860077;0.6369100024864863;-0.6865689860232325;0.5786572009349817;0.09999999999999998;-0.05288088234189496;0.08487409665347052;0.02098275953340198;0.5110898080608853;0.7693685293197632;-0.6681817173957825;0.23902437090873718;0.7583544293419482;2.677617551072533;4.532305194727017;0.7968590191942784;-0.78397276435045;-0.14272701646142877;0.6909712528847182;-0.6824544190419254;
7;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2524977856387417;5.903034767870839;3.3252092488782954;1.9593853293237995;-0.5589162654814245;-0.16288858652114868;0.34336820244789124;0.21766135096549988;0.6801847061132613;-1.058575531381503;0.4134666129845843;0.5;0.4627222919323038;-0.189441496375308;-0.11661635732791831;0.32442405281036046;0.03825221583247185;0.4960034191608429;0.16408014297485352;0.6242320480688237;-0.6784249920727552;0.530238556786089;0.09999999999999998;-0.053026768655688616;0.08478302781769519;0.03294953896690299;0.5044817219426124;0.7822739481925964;-0.6428663730621338;0.24901026487350464;0.7418432689257922;2.6467842568055406;4.42382210378474;0.8011814000253064;-0.7680547092447763;-0.2279991213874125;0.7054684772681188;-0.665666285200875;
8;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.24192125499993417;5.912527881084281;3.3307986403947445;2.141854305616695;-0.5699086117346474;-0.14663006365299225;0.3459617793560028;0.23834601044654846;0.6673623809419477;-1.0432470578376867;0.3657870448116872;0.5;0.4206647924058688;-0.27026122997967594;-0.10456358441240537;0.3189356563580352;0.048332490026950836;0.4891940951347351;0.1945343017578125;0.6126149434849146;-0.6725896317423816;0.4862787410164487;0.09999999999999998;-0.05395551066109039;0.08419502876833618;0.042936938960841796;0.49761359801156874;0.7709916830062866;-0.6396079659461975;0.2548976540565491;0.7336660257230233;2.658209008652364;4.395772078492658;0.800571371639377;-0.7607783258923903;-0.24926062653561115;0.6949138504170476;-0.6645340285997586;
9;0.3;0.05;0.43;0.01;5.0;0.7;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2167467122252075;5.943338677358802;3.3110265651534534;2.303453485719401;-0.6372700724871923;-0.1235319972038269;0.35111695528030396;0.25445878505706787;0.6501987766123236;-1.0185101569770905;0.3082431445735377;0.5;0.37169989758996486;-0.33442366263709516;-0.08636200744483041;0.31767458901659446;0.046336617320775986;0.48574158549308777;0.22461888194084167;0.611169082477461;-0.6786635271563058;0.47415054149123004;0.09999999999999998;-0.0595003555505389;0.08037230673160656;0.040386581765722095;0.4937788161662484;0.7834580540657043;-0.6230428814888;0.2612515687942505;0.7250350927972778;2.6323630379971483;4.327687120146665;0.8027148725679203;-0.744044731985175;-0.30124508866841576;0.7090535808671868;-0.6531673903556416;
