i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9122018566870981;4.379283940327778;2.0567510361620696;-0.2653356773768711;1.1263871944389359;-0.18627086281776428;-0.06434977054595947;0.13820257782936096;0.6207396110595718;-1.6908606838865603;-0.2653356773768711;0.3976490233351672;-0.10427678107792114;0.3837331086672606;-0.1966985409255564;-0.025976459679233413;0.5347849726676941;0.4943905174732208;0.1155703216791153;0.495594656866823;0.2130406829652478;1.1263871944389359;0.12941661686952055;0.11684571456546854;0.05563937193784026;0.546469544124241;0.49995445466700483;1.0610243082046509;-0.5204216837882996;0.15893757343292236;0.8243414584854829;2.2697917191273174;4.557550103309766;0.8853653663244027;-0.8747732022534838;-0.13654184891793927;0.9735469879793025;-0.5340758686800935;
1;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9173014523039636;4.373321917195905;2.0436560572402303;-0.26912256043997074;1.1480414677061999;-0.18552109599113464;-0.0643499419093132;0.15315669775009155;0.6199952689110182;-1.6910058047962109;-0.26912256043997074;0.3959438601505578;-0.10527580384724622;0.3816916890832713;-0.19604867637585927;-0.026180773000986077;0.5386852622032166;0.49864837527275085;0.13339878618717194;0.5005893735157401;0.21885758518747062;1.1480414677061999;0.12906244644562664;0.11770006670181593;0.052951009253066436;0.5504552688733981;0.5039434761980575;1.0695960521697998;-0.5197309255599976;0.1777440756559372;0.8304805617507524;2.262513642427701;4.567451004698092;0.8858807812491034;-0.8765922025610312;-0.1279486967331901;0.9819368319136967;-0.5325257952333166;
2;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9201955476030472;4.3694118880507915;2.0286850192477313;-0.26722262381199824;1.1614207398625036;-0.18560978770256042;-0.06292720139026642;0.17154933512210846;0.6199143387741631;-1.6887101480395341;-0.26722262381199824;0.39482892285838883;-0.10425602098340425;0.3808156514827398;-0.19603538980090085;-0.024845636241992437;0.5422117710113525;0.5001319646835327;0.15391401946544647;0.5028129118847725;0.2250632710892606;1.1614207398625036;0.12851684529902196;0.11789743936792818;0.051154406614664624;0.5540015149481453;0.5052474053449991;1.0780467987060547;-0.517221987247467;0.1981363147497177;0.8354206588003041;2.253748290336992;4.572133719113939;0.8864646298186205;-0.8777598520975031;-0.1239240975970104;0.9902708134963044;-0.5296143970071681;
3;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.922978248595579;4.367927875390258;2.0220606187512056;-0.25785730525615863;1.1755884720434868;-0.18676301836967468;-0.059515420347452164;0.18861937522888184;0.6206682000026701;-1.6830327567225865;-0.25785730525615863;0.39440645817107983;-0.10057730874128334;0.38136683024801243;-0.19682074924380302;-0.02137873732265092;0.5462135076522827;0.501407265663147;0.17513206601142883;0.50496205808692;0.232224675066742;1.1755884720434868;0.1282647690051179;0.11837767940695983;0.0493819398784545;0.5580512755929787;0.5063454596509924;1.0772550106048584;-0.5171557068824768;0.21617871522903442;0.8347647501253628;2.2542852938179476;4.570904185983364;0.8867211505240625;-0.8778607773514802;-0.12503941128529078;0.9894689328697104;-0.5296596480110058;
4;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.888661088345524;4.381976338503056;2.0129388810493496;-0.41203652024211;1.1913394325442894;-0.15095974504947662;-0.04260360449552536;0.20524893701076508;0.583336407721886;-1.6610961274526508;-0.41203652024211;0.39842106596557103;-0.15955816852811858;0.36507606969109113;-0.16691556190228848;-0.00609599752641625;0.5506535768508911;0.5027928352355957;0.19307871162891388;0.5073480699346858;0.24011284122387985;1.1913394325442894;0.12714005189501193;0.11809606478707763;0.047094716027094696;0.5624631833295989;0.5075023068383052;1.0761433839797974;-0.5149258971214294;0.23039911687374115;0.832495327392053;2.25305172227323;4.563513712736634;0.8870725660441089;-0.8772602398163786;-0.13157586809666105;0.9884173599981595;-0.5280834839310955;
5;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.8866370423449798;4.379111777928712;2.012017168811129;-0.4293383324357268;1.2031591933513153;-0.14637990295886993;-0.03974883258342743;0.22742056846618652;0.5785228939966768;-1.6568955141636783;-0.4293383324357268;0.39759969823306884;-0.16550853934260332;0.36151409853518207;-0.16293075689313027;-0.0035974227299092193;0.5544820427894592;0.5033144950866699;0.20780324935913086;0.5087779181918697;0.2471780150871963;1.2031591933513153;0.127233643381441;0.11873178841984103;0.045729229457118686;0.5663552216314434;0.5078874180323818;1.0706223249435425;-0.5170065760612488;0.23926234245300293;0.8295377594949314;2.2591951838983255;4.561528236571782;0.8871079589442308;-0.8770322610184978;-0.1333227060743239;0.9829190988416927;-0.5303388466686811;
6;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.8823714307473658;4.383165076276805;2.013672700757627;-0.4334521740964389;1.209893652171623;-0.14344511926174164;-0.033055126667022705;0.23995327949523926;0.5750591697707519;-1.6457372301830842;-0.4334521740964389;0.39876233017419876;-0.16748265904840623;0.3618852786229802;-0.16019338516658227;0.0031334011952753177;0.5579559206962585;0.5023100972175598;0.2197098433971405;0.5086668354272671;0.254283000719697;1.209893652171623;0.1271181562644944;0.11892900803901878;0.04488782350414673;0.5698488215001605;0.5067988795679745;1.0605614185333252;-0.5180599093437195;0.24596062302589417;0.8224688263994306;2.2679557014773244;4.550368987245449;0.8870443728444046;-0.8754271498970347;-0.1430909662350414;0.9730187035436217;-0.5323690059672236;
7;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.8850854857713559;4.385028534131996;2.0169424046398943;-0.42614144515666896;1.2347492983978068;-0.14319314062595367;-0.027151985093951225;0.2502116858959198;0.5743958969709527;-1.635521612084731;-0.42614144515666896;0.39929777876289063;-0.16505389500340442;0.3635875793659397;-0.15969853012629412;0.00920677284264275;0.5633334517478943;0.5059488415718079;0.23273774981498718;0.5135592106188207;0.2626351609628592;1.2347492983978068;0.1271858632733608;0.12007179341013184;0.04194053223153759;0.5753406310889074;0.5101428947949617;1.0500378608703613;-0.5216277241706848;0.2521646022796631;0.8167465861695385;2.2795775656027537;4.545347950294631;0.8869185874770805;-0.874573618227625;-0.1474637823758095;0.9625804990475988;-0.5363741024082658;
8;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.886392890426254;4.383800674835138;2.0258328245194424;-0.4154894464965339;1.2447332123316386;-0.14418715238571167;-0.022932525724172592;0.25555840134620667;0.5751308000928012;-1.6280885965368614;-0.4154894464965339;0.3989448974848883;-0.1610292337808645;0.3650022151948885;-0.1602900757637981;0.013567695795316262;0.5677275657653809;0.505148708820343;0.24364939332008362;0.5139466180627227;0.2712960358075864;1.2447332123316386;0.12767505052762168;0.12094794521175962;0.04089636996463063;0.5798223602865569;0.509238345816806;1.0344184637069702;-0.5269257426261902;0.2607121765613556;0.808462078495077;2.2971288603270286;4.537959725034147;0.8865752133064366;-0.8731220991989918;-0.1538616545462174;0.947106253787071;-0.542311908080812;
9;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.8874198017854893;4.387960468710783;2.032788561270589;-0.39581169074415634;1.2549042744768388;-0.14645104110240936;-0.01660618931055069;0.2621726989746094;0.5770647208915829;-1.6169187526099384;-0.39581169074415634;0.4001414393177829;-0.15427743284648626;0.3692040698226455;-0.161878784387058;0.02031421767171386;0.5714486837387085;0.5050583481788635;0.25273218750953674;0.5148693992004166;0.27830608585886535;1.2549042744768388;0.1278108538567853;0.12148672528120485;0.039706296025310554;0.583597356266829;0.5090289777813946;1.0242383480072021;-0.5329179763793945;0.26477089524269104;0.8049094006894351;2.3110946471294542;4.540917967882946;0.8863051673182918;-0.8733073525256181;-0.15123199939100515;0.9369076127546403;-0.548041176318495;
