i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.44472104717576627;5.4572794180826225;2.7793810217732617;0.06483768615400423;0.8079754302907858;-0.11489702761173248;0.1493971347808838;0.003306032856926322;0.562444958982851;-1.3203448454055113;0.06483768615400423;0.7037892977465707;0.045600104021771816;0.7023104770226732;-0.1103370172095553;0.2196281824831511;0.1713784635066986;0.48972514271736145;0.12385714799165726;0.5449966162219255;-0.49443895630854695;0.8079754302907858;0.11376109866898237;0.08223673255177112;0.07860475424287268;0.17960213676187572;0.4975856181416487;0.8541101217269897;-0.35760298371315;0.16852454841136932;0.5612498097871327;2.2849420654647146;3.664358690321345;0.8480343823057095;-0.42340546469444623;-0.7347721592708221;0.8117695752575451;-0.43108019964023225;
1;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.4462884753297002;5.4583681137827655;2.7833637345656252;0.07378352896817927;0.8061390675339881;-0.11944450438022614;0.14579260349273682;0.005437349434942007;0.5659760547558244;-1.3285062796606348;0.07378352896817927;0.7040120583199626;0.0518973758762606;0.7020966034934712;-0.11425476679260008;0.21600226384208393;0.16618382930755615;0.4887063801288605;0.1372649371623993;0.5465883005470403;-0.5036890862638141;0.8061390675339881;0.11387394323719868;0.0821736779899476;0.07883375922784065;0.17440119710655091;0.4965897560516445;0.8588189482688904;-0.3577466309070587;0.18850459158420563;0.5649099706483589;2.279674648301811;3.6767885713972253;0.8477662950774134;-0.43236892495786583;-0.729222053835499;0.8155820557731038;-0.4306688362906086;
2;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.4482810335093011;5.456834467392141;2.7755912675170618;0.07470554438322713;0.8267170028846844;-0.11889279633760452;0.14693205058574677;0.006602305918931961;0.5657152007405603;-1.326316952963713;0.07470554438322713;0.7036981884272283;0.05252127159928988;0.7017354604303223;-0.11364066917767554;0.21710559662877899;0.16624416410923004;0.4928407073020935;0.15753203630447388;0.5501838688969577;-0.49996611317626805;0.8267170028846844;0.11363094324410938;0.08359962387877895;0.07696164076910458;0.17460412649710794;0.5005368713790039;0.8641954660415649;-0.3593165874481201;0.2077014297246933;0.5700179334857604;2.2756251543407933;3.697619228986423;0.8482886730528447;-0.4477399179755218;-0.720501657653214;0.8194214742440128;-0.43136675321344153;
3;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.4427898768996335;5.46668954336072;2.786856005840689;0.06274634517754732;0.834862904811063;-0.11479032039642334;0.14883536100387573;0.005572225898504257;0.5622025886303922;-1.3212658664151626;0.06274634517754732;0.705707061207006;0.044251488396173294;0.7043182959515906;-0.11036517155680602;0.2192671905990348;0.16260161995887756;0.49396806955337524;0.18119817972183228;0.5529258413167513;-0.5047701025962961;0.834862904811063;0.11368576228031008;0.08426439739782993;0.0763148994393347;0.17102805969866056;0.5015995594973087;0.8657304048538208;-0.36550089716911316;0.22530606389045715;0.5752059713605931;2.2820859032443925;3.7295413765410546;0.8475305017923083;-0.47008733901852856;-0.7052133330863795;0.8187216709519679;-0.4360222304777511;
4;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.43191651100796996;5.492594816712933;2.8237045342318154;0.06408329607314805;0.8439571873387169;-0.1141388788819313;0.15023691952228546;0.003217673161998391;0.561919489880877;-1.3185625880577982;0.06408329607314805;0.7108975701015816;0.04552548484543635;0.709438359130602;-0.10958633039738767;0.22118075543534566;0.14803597331047058;0.4934805929660797;0.19175906479358673;0.5596938414185078;-0.5279720975911452;0.8439571873387169;0.1141130520914791;0.08527423704120275;0.07582936868175406;0.15656339701459085;0.5010635298342552;0.8642300963401794;-0.3746580183506012;0.23908282816410065;0.5801013425678422;2.2957324366406704;3.7673618319538518;0.8450009133356005;-0.49493467440437117;-0.6848840862585712;0.8147366288997423;-0.44314642697645834;
5;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.42899666963100047;5.50043039172738;2.855629012118536;0.06791739106875727;0.8446743290648357;-0.1152556762099266;0.1499309539794922;0.002228070516139269;0.5629248833732216;-1.3195840397215721;0.06791739106875727;0.7124420759961948;0.048350015808971476;0.7107995410951248;-0.11042067462902946;0.22101090808900467;0.14274777472019196;0.4926733672618866;0.20709262788295746;0.5616826687660299;-0.5368291242693664;0.8446743290648357;0.11506453653073906;0.08604007267850107;0.07639995720229191;0.15135178198804206;0.5003133629821158;0.8590636253356934;-0.38811710476875305;0.25138211250305176;0.5853142947986685;2.3187998878491696;3.816299232727304;0.8427461802563535;-0.5264367513801514;-0.6580922968193648;0.8064199501976782;-0.45392633445068953;
6;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.43161002590468744;5.493863844739773;2.874387499707019;0.05139031067546135;0.8448886648241857;-0.11411743611097336;0.14590950310230255;0.004135519731789827;0.5608343581785035;-1.3260249928487464;0.05139031067546135;0.7111485120534841;0.03653005891999261;0.710209659883042;-0.11046443021897409;0.21693046909060676;0.1427989900112152;0.4927252531051636;0.22085338830947876;0.5617010682952475;-0.5367035304089335;0.8448886648241857;0.11608133608842092;0.08681690749811934;0.07705648032797713;0.15148068076102714;0.5004309011379613;0.8548370003700256;-0.3993932008743286;0.25642335414886475;0.5899909065447785;2.3376839692980846;3.8584765465825392;0.8413930543299616;-0.5528278552415219;-0.6342898661840347;0.7995542148458734;-0.4628221874927321;
7;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.42751880813324894;5.502986433140861;2.906876025836197;0.06041924587146047;0.8387996438705291;-0.11526805907487869;0.14733895659446716;0.004423101898282766;0.562298181791247;-1.324054489353;0.06041924587146047;0.7129433703782464;0.04304929782357924;0.7116424715566028;-0.11096312929252077;0.21850320375012744;0.1392398476600647;0.4908474087715149;0.23258350789546967;0.561921432863192;-0.5438556153142747;0.8387996438705291;0.11703481786489439;0.0870553416701549;0.07822094399431392;0.1479453818270802;0.49866950317094627;0.8485175967216492;-0.4142704904079437;0.2612817883491516;0.5959550551817328;2.363020410521923;3.9135947701190124;0.8389984406918723;-0.5852611350324965;-0.6011553770065333;0.7899914832183995;-0.47438602810859704;
8;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.41995659740408314;5.516280715105282;2.9360878604262526;0.06619036930040698;0.8181995586001636;-0.11526729166507721;0.14932265877723694;0.0041219512932002544;0.5627852366653968;-1.320636109540429;0.06619036930040698;0.7155306320810073;0.0473266614593431;0.7139637753845489;-0.11053462551914289;0.22071903631569184;0.1356765180826187;0.4860580861568451;0.2399774044752121;0.559694214194938;-0.5537315174661248;0.8181995586001636;0.11769296293670695;0.08590601746234156;0.08044743431944204;0.14426711982885287;0.4941028295887893;0.8428758382797241;-0.4250645935535431;0.26427343487739563;0.5997896784699571;2.3823563429601275;3.9521010624924595;0.8367883221623421;-0.6063683048177694;-0.576656028338985;0.7822390077979472;-0.4827301963874416;
9;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.4;0.5;0.5;1;0.4263179533391004;5.507683125822945;2.954701811459746;0.059131304012433605;0.851130867017819;-0.11501196026802063;0.14726994931697845;0.004077759571373463;0.5620329846376245;-1.324062257983717;0.059131304012433605;0.7138612476840337;0.04218695190275997;0.7126135993890094;-0.11079326507774463;0.21853130925587938;0.1351456344127655;
