i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.955052223330321;4.524505510859644;2.1905387475018223;0.18869379392528352;0.9977862199178433;-0.2817092835903168;-0.09347464144229889;0.15004077553749084;0.71919198116376;-1.7151736351367721;0.18869379392528352;0.44088400669342226;0.08269927357545698;0.4330583534676791;-0.27343935623277105;-0.050168806095530975;0.4521057903766632;0.5177865028381348;0.12041028589010239;0.5082674477406162;0.04350616118317053;0.9977862199178433;0.12884977862880193;0.10826896598830736;0.06985768716837114;0.46293268697549395;0.5247722715549719;1.0704351663589478;-0.4903869926929474;0.16693492233753204;0.8127387924576414;2.234044908684993;4.4878765569232675;0.8798332118521304;-0.8577518376805181;-0.19587819080676083;0.9846599825908959;-0.5099748117736235;
1;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9517902303083616;4.516171612676057;2.1937395514445255;0.1399805430016231;1.0107921808895926;-0.2716050148010254;-0.09535393863916397;0.16872583329677582;0.7094709642971527;-1.71984404571641;0.1399805430016231;0.4383256191489513;0.06115687705485514;0.4340382296425153;-0.26548932709553985;-0.05195011567491244;0.4540973901748657;0.5204874873161316;0.13615478575229645;0.5110559254324103;0.04716964878711888;1.0107921808895926;0.12942163715103783;0.10965285853249866;0.06874744197791456;0.4650626760281156;0.527362231513923;1.0661238431930542;-0.49408864974975586;0.18754902482032776;0.8116396433671987;2.2409092002316444;4.491425429138474;0.8796946243849817;-0.8583063634693688;-0.19280253784590548;0.9802932068461173;-0.5133689035343464;
2;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9481724638276039;4.512866488219392;2.1943687751091856;0.10415177909735451;1.0263503286000835;-0.2637532651424408;-0.09274332225322723;0.1840313822031021;0.7013200290619312;-1.7178254007924685;0.10415177909735451;0.4373132047077477;0.045464647150637756;0.4349434501992511;-0.25920680042737704;-0.04924897723330212;0.4569728672504425;0.5233612656593323;0.15378683805465698;0.5140693772702878;0.052493418167725604;1.0263503286000835;0.12961778896640364;0.11087691852433519;0.06713479094394413;0.46806055910287603;0.5300747447537267;1.0609797239303589;-0.4961562752723694;0.21215948462486267;0.8089064142463148;2.246862193276911;4.489056455063997;0.8796673446470838;-0.8578206090205268;-0.19482925852680286;0.9751976630283062;-0.5156392011250497;
3;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9432129320087026;4.512264708535138;2.2051092102611594;0.07075004132721444;1.0387497103657986;-0.25631827116012573;-0.08870697766542435;0.19964392483234406;0.6933800089186783;-1.7136378302319248;0.07075004132721444;0.4371290071833338;0.03090110066551647;0.43603542390354794;-0.2532281610935741;-0.045103435275069555;0.4595579504966736;0.5254362225532532;0.17377372086048126;0.5162830347372752;0.05728276841252292;1.0387497103657986;0.13018642318463597;0.1121908361078593;0.06604332725588995;0.4707770341074595;0.5320405552788422;1.051342248916626;-0.5044851899147034;0.23281165957450867;0.8066977134778175;2.262391978673682;4.497779900206025;0.8791998749260133;-0.8590307847563619;-0.18723923443228044;0.9654391704409898;-0.5232091133579314;
4;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9373186446896905;4.514528970966176;2.2152869850916255;0.04229878894659833;1.048239683534633;-0.24975040555000305;-0.08328527212142944;0.21226489543914795;0.6861215313923348;-1.7071790004109122;0.04229878894659833;0.4378222914666434;0.018513830764338872;0.4374306767655098;-0.24789902247356915;-0.039542204444878465;0.4618135392665863;0.5268319249153137;0.19583165645599365;0.5178101388466;0.061477335802497944;1.048239683534633;0.13058595756321106;0.11315873912904964;0.0651750878129401;0.47312941317949125;0.5333494336966077;1.0392029285430908;-0.5093711018562317;0.24293603003025055;0.8005464068927138;2.2767643208941233;4.492807966822503;0.8787536947884494;-0.8576537631240673;-0.1914107591110743;0.953437552230684;-0.5285121777673392;
5;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9315957593906801;4.517659090802406;2.2291603744387976;0.016951939925920617;1.0595542002952534;-0.24365130066871643;-0.0767754316329956;0.22429846227169037;0.6792172336062638;-1.698904445711985;0.016951939925920617;0.4387816723067736;0.007437844304190899;0.4387186278521069;-0.24290751623829734;-0.03290356884778491;0.4645894765853882;0.5284234285354614;0.21176457405090332;0.5195760609813675;0.0666217706651952;1.0595542002952534;0.13113207510201796;0.11436519446308917;0.06415780089732719;0.4760259960316971;0.5348392086251942;1.0236588716506958;-0.515938937664032;0.25063857436180115;0.7931220725971179;2.2957821451039933;4.487704540704934;0.8781404316149141;-0.8560678994694692;-0.19564858582355849;0.9380520817037489;-0.5355037962463878;
6;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9265185764732605;4.521679829560013;2.2387439416424217;0.0018659259359197766;1.0678087275902803;-0.23949101567268372;-0.0698695257306099;0.2338165044784546;0.6742383563747127;-1.6895340245580817;0.0018659259359197766;0.4400156797389142;0.0008210361926051897;0.44001491374232893;-0.23940891205342318;-0.025868034356377002;0.4674217998981476;0.5290552973747253;0.22518305480480194;0.5204025296252714;0.07197145306149082;1.0678087275902803;0.1314165483928733;0.11514012475233257;0.06334872424535246;0.47893581237338084;0.5353901697992606;1.0134669542312622;-0.5226709842681885;0.2594829499721527;0.7900456089120087;2.3107153947039127;4.492390719531857;0.877713341871804;-0.8565585446963957;-0.19154156208865747;0.9278110997616227;-0.5418251404770542;
7;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9215607237016659;4.527272651129261;2.2479010135587267;-0.008280375640447826;1.0781317758978464;-0.23597213625907898;-0.061503469944000244;0.24140697717666626;0.6697996957953278;-1.6777536519401932;-0.008280375640447826;0.4417352076742128;-0.0036576916547791734;0.4417200640572471;-0.2363379054245569;-0.017331463538275534;0.4707241952419281;0.5299814939498901;0.23646996915340424;0.5215737858908002;0.07815900411013221;1.0781317758978464;0.13159943013091996;0.11594906281948432;0.06224327146018408;0.4823191015238765;0.5362058210959085;0.9995251893997192;-0.5261948108673096;0.2647499144077301;0.7822172438407479;2.326060017668859;4.48098560447749;0.8773025929085336;-0.8539185293195198;-0.2012038389515083;0.9141333364677673;-0.5463151947624604;
8;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9156897061679335;4.535387461462545;2.2562546449039;-0.013392908981646856;1.0838827417261512;-0.2332153618335724;-0.052525781095027924;0.24850204586982727;0.666156205010191;-1.6647952314326628;-0.013392908981646856;0.44423623067466017;-0.005949437541607371;0.4441963899413956;-0.23381030558773314;-0.008106142100888364;0.47326353192329407;0.5300334095954895;0.24334770441055298;0.5218299342601841;0.08300261428437933;1.0838827417261512;0.13161170118873944;0.11631594728210436;0.06158116836875344;0.4848951266515045;0.5361915264323649;0.9870056509971619;-0.5284498929977417;0.2661448121070862;0.774715162180302;2.3392572591882788;4.4676281097506125;0.8769255902991452;-0.8507890857849293;-0.2125004057190208;0.901926742418669;-0.5496999335696438;
9;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.9118315157814844;4.540782768188642;2.2660608499348722;-0.014835570382129848;1.0900926166686795;-0.23141318559646606;-0.04522467404603958;0.25694984197616577;0.6637146726601398;-1.6540980784012733;-0.014835570382129848;0.4459029680345973;-0.006614982206500873;0.4458538986175525;-0.23207468381711616;-0.0006392841842843347;0.47604262828826904;0.5300517678260803;0.2530956566333771;0.5220859745661849;0.08830446058967081;1.0900926166686795;0.13183872948638536;0.116897412588996;0.060962656787432894;0.48773236954716864;0.5361480335048237;0.9731961488723755;-0.531212568283081;0.26913607120513916;0.766794040285492;2.354365310524543;4.4537111302289025;0.8764802160698046;-0.8473188711845694;-0.22420593144758358;0.8884642617539186;-0.5536331614278394;
